New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
832,N/A,"Justicia gendarussa, Burm f. (aka Gendarussa vulgaris, Nees)","Try Nature First, LLC",5/22/2014,5/30/2014
833,N/A,Antrodia cinnamomea (BI0-ANTRODIA),Grape King Bio LTD,5/22/2014,7/18/2014
834,N/A,Cordyceps cicadae mycelia extract (BIO-CORDYCEPS GK-4),Grape King Bio LTD,5/22/2014,7/18/2014
835,N/A,Glycine max (L.) Merrill (soybean) whole broth extract from fermentation (BIO-995),Grape King Bio LTD,5/22/2014,7/31/2014
836,N/A,Monascus purpureus NTU 568 (red yeast) fermented product (ANKASCIN 568-R) ,"Sun Way Biotech Co., LTD",5/29/2014,8/7/2014
837,N/A,"1,6-bis(L-phenylalanine-N-alpha-amino)hexanediamide (Synopepdi-1)",Smith-Ennismore Industries Limited,5/30/2014,8/12/2014
838,N/A,S-adenosylmethionine (SAMe) and its stabilizing salt disulfate tosylate,Farmasino Pharmaceuticals,6/2/2014,6/9/2014
839,N/A,Sideritis scardica Griseb,Pirin LLC,6/3/2014,6/9/2014
840,N/A,Anatabine (CigRx® / Anatobloc® / Anatabloc Unflavored®),Rock Creek Pharmaceuticals Inc.,6/12/2014,8/26/2014
841,N/A,Banaba extract from the leaves of Lagerstroemia speciosa L. (IQP-GC-101),InQpharm (North America) LLC,6/16/2014,8/28/2014
842,N/A,Lactobacillus johnsonii (New Life 1),"Microbio Pharma, Inc.",6/26/2014,9/8/2014
843,N/A,"Arthrem, a supercritical [fluid] extract of [the upper
shoots and leaves of] the botanical Artemisia annua (Linnaeus) (Arthrem)",Promisia Integrative Ltd,7/1/2014,9/12/2014
844,N/A,Astragalus dasyanthus Pall. and Astragalus membranaceus Fisch. mixtures (Evig Var) (Phoenix),SaTek USA LLC,7/17/2014,9/19/2014
845,N/A,Sardinops sagax (Sardine) hydrolyzed protein (Sardine Support tablets),"SENMI EKISU Co., Ltd",7/24/2014,10/6/2014
846,N/A,Lcysteine-glutathione mixed disulfide (CySSG) (GlutathioCeine),"Max International, LLC",8/14/2014,10/24/2014
847,N/A,N-methylglucamine USP [6284-40-8] (GFS Life),Dynamis Family of Companies,8/18/2014,10/17/2014
848,N/A,"Beta-1,3-glucan extracted from the microalgae Euglena gracilis Klebs. (Algamune BG)",Algal Scientific Corporation,8/25/2014,11/3/2014
849,N/A,"Konjac Ceramide (powder type), extract of Amorphophallus konjac K. Koch ",Unitika LTD,9/18/2014,1/22/2015
850,N/A,Pandanus conoideus Lam. (red fruit) oil extract,Not provided,9/19/2014,11/7/2014
851,N/A,Astragalus dasyanthus Pall herbal tea (Phoenix),SaTek USA LLC,10/20/2014,1/9/2015
852,N/A,Astragalus dasyanthus Pall herbal tea (Evig Var),SaTek USA LLC,10/20/2014,1/9/2015
853,N/A,Gardenia jasminoides Ellis. (gardenia fruit) extract (Crocin Rich),Quality Phytochemicals LLC,10/22/2014,12/30/2014
854,N/A,Lactobacillus johnsonii 456 (New Life 1),"Microbio Pharma, Inc.",10/22/2014,1/5/2015
855,N/A,Monascus purpureus NTU 568 (red yeast) fermented product (ANKASCIN 568-R),"Sun Way Biotech Co., LTD",11/19/2014,1/30/2015
856,N/A,Triticum aestivum L. (wheat flour) oil extract (Ceramosides Oil Neutra),E.P.I. France SARL,12/9/2014,2/19/2015
857,N/A,"Beta-1,3-glucan extracted from the microalgae Euglena gracilis Klebs. (Algamune BG)",Algal Scientific Corporation,12/30/2014,3/11/2015
858,N/A,Ganoderma microsporum immunomodulatory protein (Reishimmune),"Mycomagic Biotechnology Co., Ltd.",1/20/2015,5/18/2015
859,N/A,Ceratonia siliqua L. (Locust Bean Gum) extract (Qshape),Tru-Science LLC.,1/20/2015,3/30/2015
860,N/A,Gardenia jasminoides Ellis. (gardenia fruit) extract (Crocin Rich),Quality Phytochemicals LLC,1/22/2015,5/28/2015
861,N/A,Algae powder derived from Schizochytrium sp. (NANUK Omega3 algae powders) ,Solarvest (PEI),1/30/2015,5/29/2015
862,N/A,"Combination of Phyllanthus emblica, Oryza sativa, Gynostemma
p entaphyllum, Arthrospira sp, Camellia sinensis, Moringa oleirera, Mangostana garicinia, Morinda citrifolia, Papaya leaf and Plu Kow",Thai Freeze Dry Company Ltd.,2/12/2015,2/23/2015
863,N/A,Antrodia camphorata mycelium powder (LIVERTY),Golden Biotechnology Corp.,2/23/2015,5/5/2015
864,N/A,Quinic acid,Lund University and Genetic Health Enterprises (GHE),2/24/2015,4/27/2015
865,N/A,Huperzine A,Alzheimer’s Organization,3/12/2015,4/27/2015
866,N/A,"Distillate of rectified Eucalyptus oil, rectified Sweet Orange oil, rectified Lemon oil and rectified Myrtle oil (d-ELOM)",G. Pohl Boskamp GmbH & Co. KG,3/17/2015,7/22/2015
867,N/A,Palmitoylethanolamide (PEAIN SCRIPT),Cutting Edge Medical Solutions LLC,3/20/2015,5/28/2015
868,N/A,"Combination of Vit B12, Vit C, Vit D, Vit E, Zinc, Selenium and herbal extracts (Rebound Maximum Immune Builder)",Sports Innovative Services,4/20/2015,6/23/2015
869,N/A,"Abigenol, extract of Abies alba Mill Bark (silver fir) (rev.up wellness Endurance, rev.up wellness Defense & rev.up wellness Velocity)","Portals Pharma, Inc.",4/30/2015,7/1/2015
870,N/A,"N-Acetylneurarninic acid Neu54c, powder of sialic acid [N-acetylneuraminic acid] and magnesium",Ventrine S. De RL de C.V.,5/22/2015,7/17/2015
871,N/A,Bovine Serum Protein Concentrate (SerumPro),"Proliant Health, Inc.",5/28/2015,7/17/2015
872,N/A,Oleoylethanolamide (RiduZone),"NutriForward, LLC",6/1/2015,7/30/2015
873,N/A,Auricularia auricularjuade Extract,Yew Bio-Pharm Group Inc,7/6/2015,8/27/2015
874,N/A,"Abigenol, dervied from Abies alba Mill. (european silver fir) bark extract (Rev.Up Wellness ENDURANCE) ","Portals Pharma, Inc.",7/7/2015,9/14/2015
875,N/A,"Abigenol, dervied from Abies alba Mill. (european silver fir) bark extract (Rev.Up Wellness DEFENSE) ","Portals Pharma, Inc.",7/7/2015,9/14/2015
876,N/A,"Abigenol, dervied from Abies alba Mill. (european silver fir) bark extract (Rev.Up Wellness VELOCITY) ","Portals Pharma, Inc.",7/7/2015,9/14/2015
877,N/A,Combination of Radix campanumoeae; Colla corii asini; Radix ophiopogonis japanici; Radix astragali membranacei; Radix glycyrrhizae; Radix angelicae sinensis; Radix rehmanniae glutinosae; Tuber stephaniae glabrae; Rhizoma zingiberis; Ralmulous cinnamomi; Fructus zizphi jujubae Semen ziziphi mauritianae; Talc (Heantos),Amerturk Inc,7/31/2015,9/22/2015
878,N/A,"Astragalus membranaceus Bunge., Eleutheroccoccus senticosus Maxim., and Phlomis umbrosa Turcz. (Astragalus Height Growth Extract (HT042))",NeuMed Inc,8/4/2015,9/9/2015
879,N/A,"Isoflavone aglycone, derived from embryo bud of Glycine max (L.) Merrill (soybean) (AglyMax-30)","Toshin Kagaku Co., LTD",8/6/2015,10/9/2015
880,N/A,Gardenia jasminoides Ellis. (gardenia fruit) extract (Crocin Rich),Quality Phytochemicals LLC,8/11/2015,10/15/2015
881,N/A,Mitragyna speciosa (aka Kratom) (Atomic K),Not provided,8/18/2015,9/22/2015
882,N/A,"Niagen, Nicotinamide Riboside Chloride","ChromaDex, Inc",8/24/2015,11/3/2015
883,N/A,"Astragalus Height Growth Extract, derived from Astragalus membranaceus Bunge., Eleutheroccoccus senticosus Maxim., and Phlomis umbrosa Turcz. ",NeuMed Inc,8/26/2015,1/6/2016
884,N/A,"Haematococcus pluvialis J. Von Flotow, 1844 extract containing astaxanthin esters (AstaZine)","BGG North America, Inc.",9/4/2015,11/10/2015
885,N/A,Panax Ginseng Berry Extract,AmorePacific,9/22/2015,12/1/2015
886,N/A,Chloroquine phosphate and Amodiaquine (Suiplem Herbal Dietary Supplement),Ritish Integrated Services Ltd,9/30/2015,11/25/2015
887,N/A,"Abigenol, dervied from Abies alba Mill. (european silver fir) bark extract (Rev.Up Wellness ENDURANCE) ","Portals Pharma, Inc.",10/2/2015,12/10/2015
888,N/A,"Abigenol, dervied from Abies alba Mill. (european silver fir) bark extract (Rev.Up Wellness DEFENSE) ","Portals Pharma, Inc.",10/2/2015,12/10/2015
889,N/A,"Abigenol, dervied from Abies alba Mill. (european silver fir) bark extract (Rev.Up Wellness VELOCITY) ","Portals Pharma, Inc.",10/2/2015,12/10/2015
890,N/A,Ceriporia lacerata (CL01),Onbix Corporation,10/4/2015,12/14/2015
891,N/A,Cannabinoids (Neuroprotecting Antioxidants),Purevolution Enterprise,10/5/2015,12/15/2015
892,N/A,Astragalus dasyanthus Pall. herbal tea (Astragalus D.P.),SaTek USA LLC,10/5/2015,12/15/2015
893,N/A,Cuprous nicotinic acid,C LAB Pharma International,10/8/2015,12/16/2015
894,N/A,Vaccinium uliginosum L. (Bog bilberry) extract,Dong-A Pharmaceuticals Co. Ltd,10/13/2015,12/23/2015
895,N/A,Municipal water subjected to ultra-purification and sterilization by UV light and treated with a special electromagnetic force (Xenwater),New Century Company,10/26/2015,12/23/2015
896,N/A,"Combination of Sabel palmetto, Sabal minor, Serena repens, Washintonia robusta, Phoenix sylvestris, Quercus virginiana, and Quercus hemisphaerica (NutraCarbon)","Life Carbon, LLC",11/16/2015,1/15/2016
897,N/A,Black ginseng extract concentrate (CJ EnerG),CJ Cheil Jedang,11/18/2015,1/27/2016
898,N/A,Bifidobacteria and Lactobacilli 100 billion (Renew Life Ultimate Force),Midwest Cold Brew,11/25/2015,2/3/2016
899,N/A,Antrodia camphorata under trade name Liverty,Golden Biotechnology Corp.,11/30/2015,2/10/2016
900,N/A,Lactobacillus plantarum CJLP33,CJ Cheil Jedang,12/1/2015,2/8/2016
901,N/A,Phlebodium aureum (L.) J. Sm. under trade name Fernblock and Heliocare,"Ferndale Pharma Group, Inc ",12/18/2015,6/28/2016
902,N/A,Cranberry extract (Vaccinium macrocarpon Aiton.) under trade name Oximacro,Biosfered S.r.l. ,12/11/2015,2/22/2016
903,N/A,Steviol derived from leaves of Stevia rebaudiana (Bertoni),"DSM Nutritional Products, Inc.",12/23/2015,3/1/2016
904,N/A,Pinulone derived from Pinus longaeva seedlings,Forest Organics LLC,12/24/2015,2/25/2016
905,N/A,Amazon almond derived from Caryodendron orinocense Karsten.,Kaibae,12/31/2015,3/2/2016
906,N/A,Odyliresin Swiss Formula Food Supplement derived from Iresine celosia,Iresine International Inc,1/5/2016,3/16/2016
907,N/A,Cystox (L-2-oxothiazolidine-4-carboxylate) (CAS 19771-63-2),Scientific Cystems,1/7/2016,3/17/2016
908,N/A,"Vitamin A, Vitamin E, Calendula Oil, Lavender Oil, Rosemary Oil and Chamomile Oil under trade name BIO OIL",A&E Global Limited,1/19/2016,3/31/2016
909,N/A,Vegetable extract,"EcuaBIRM Cia, Ltda",1/29/2016,3/31/2016
910,N/A,Copper Niacin,C LAB Pharma International,2/1/2016,4/14/2016
911,N/A,A proprietary blend of Ca Mg Na K under trade name Daily Peak Performance,"Root Cause Response, LLC",2/1/2016,6/7/2016
912,N/A,Gamma-Aminobutyric acid (GABA) and L-theanine under trade name Take5,Green Rose LLC,2/11/2016,4/20/2016
913,N/A,Omega 3 fatty acid lysine salts,Evonik Nutrition & Care GmbH,2/29/2016,5/9/2016
914,N/A,Astragalus D.P. herbal tea derived from Astragalus dasyanthus Pall,SaTek USA LLC,3/10/2016,5/19/2016
915,N/A,Candelilla wax derived from Euphorbia cerifera,Organic Green Human & Co LLC,3/17/2016,5/23/2016
916,N/A,Aster spathulifolius Extract,"Newtree Co, LTD",4/7/2016,6/14/2016
917,N/A,Caryodendron orinocense under trade name Kahai Protein Powder Blend,Kaibae,4/8/2016,6/14/2016
918,N/A,Cranberry extract (Vaccinium macrocarpon Aiton) with proanthocyanidins (PACs) under trade name Oximacro,Biosfered S.r.l.,4/12/2016,6/21/2016
919,N/A,Sucupira seed from Pterodon Emarginatus Vogel under trade name NaturNurish,"Altto Natural Foods & Beverages, Inc",4/12/2016,6/21/2016
920,N/A,"L-5-MTHF-Ca (6(S)-5-methyl-tetrahydrofolic acid, calcium salt or L-5-methyltetrahydrofolicacid, calcium salt under trade name Magnafolate-C",NutraSource,4/15/2016,8/29/2016
923,N/A,Sea buckthorn seed oil derived from Hippophae Rhamnoides L.,Qinghai Tsinghua Biotry Bio-Tech Co. LTD,4/21/2016,6/28/2016
924,N/A,Lactobacillus fermentum CECT5716 under trade name Hereditum LC40,Biosearch Life,4/26/2016,7/7/2016
925,N/A,Dietary supplement with organic silica and boron under trade name SILOR+B,Invex Remedies SP. Z.O.O.,5/10/2016,7/14/2016
926,N/A,Dietary supplement Zinc+ Copper+ Magnesium under trade name Biochelate Zn-Cu-Mg,Invex Remedies SP. Z.O.O.,5/10/2016,7/14/2016
927,N/A,Dietary supplement Zinc+ Copper+ Chromium under trade name Biochelate Zn-Cu-Cr,Invex Remedies SP. Z.O.O.,5/10/2016,7/14/2016
928,N/A,Ceriporia lacerata under trade name CL EPS,Onbix Corporation,5/19/2016,7/22/2016
929,N/A,Crocus sativus undert trade name Premium Kashmiri Saffron,Premium Health Foods LLC,5/21/2016,8/2/2016
930,N/A,"Glucevia, an extract from the samara of Fraxinus angustifolia Vahl",Naturex SA,5/24/2016,8/4/2016
931,N/A,Hamelia patens (firebush or hummingbird bush) under trade name Cupio-Rase,CelSana LLC,6/8/2016,8/16/2016
932,N/A,Astragalus D.P. herbal tea derived from Astragalus dasyanthus Pall,SaTek USA LLC,6/24/2016,9/1/2016
933,N/A,Bromelain [protease] Enzyme derived from Ananas comosus (pineapple plant),Excellent Biotechnologies,7/4/2016,8/18/2016
934,N/A,Caryodendron orinocense under trade name Kahai Protein Powder Blend,Kaibae,7/6/2016,1/3/2017
935,N/A,Super Tumeric derived from Curcuma Longa,Joy’s Remedy,7/8/2016,9/19/2016
936,N/A,GABA produced from fermentation of Sea Tangle (Saccharina japonica),Marine Bioprocess Co. Ltd,7/20/2016,9/27/2016
937,N/A,"HPMC, Hydroxypropyl methylcellulose capsule coating, called ""Vegetable empty capsule shell""","ACB Pharma Com, LTD",7/22/2016,9/29/2016
938,N/A,"Lactobacillus gasseri CECT5714, LC9 and Lactobacillus coryniformis CECT5711, K8",Biosearch S.A. [Biosearch Life],7/22/2016,12/5/2016
939,N/A,Dry Facial Clay Powder,Southern Health Innovations LLC,8/9/2016,9/29/2016
940,N/A,Bifidobacterium breve CECT7263,Biosearch S.A.,8/10/2016,2/3/2017
941,N/A,Matcha Green Tea derived from Camellia Sinensis L.,Fushishi Herbs,8/15/2016,9/29/2016
942,N/A,Kangaroo Meat Powder,Wellwisse Pharma Inc,8/26/2016,1/10/2017
943,N/A,Haematococcus Pluvialis extract containing astaxanthin esters under trade name AstaZine,"BGG North America, Inc.",9/1/2016,11/7/2016
944,N/A,Mitrasafe derived from Mitragyna speciosa,Industrial Chemical,9/8/2016,12/20/2016
945,N/A,25-hydroxycholecalciferol under trade name of Calcifediol,DSM Nutritional Products,9/8/2016,4/28/2017
946,N/A,"Coconut oil, jojaba oil and shea olein for topical application to treat dry skin",Chevy Jules,9/13/2016,9/29/2016
947,N/A,"Blend of purified edible fatty acids derived from anchovy or menhaden oil, with palmitoleic acid (C16:1) under trade name Provinal TG",Tersus Life Sciences LLC ,9/16/2016,11/22/2016
948,N/A,Sophora japonica Linne (Leguminosae) fruit extract under trade name Rexflavone,Novarex,9/23/2016,11/30/2016
949,N/A,S-adenosylmethionine (SAMe),DvRyl International,10/6/2016,12/9/2016
950,N/A,Pterostilbene,DvRyl International,10/6/2016,12/9/2016
951,N/A,Huperzine A,DvRyl International,10/7/2016,12/9/2016
952,N/A,Antrodia camphorata (aka Antrodia cinnamomea) mycelia extract under trade name Antrodia King,Grape King Bio LTD,10/14/2016,12/21/2016
953,N/A,Shea butter,Vermont Soap,10/28/2016,1/4/2017
954,N/A,Dried aqueous extracts of 9 botanical herbs under trade name ARI-BJ; 1. Astragalus membranaceus 2. Atractylodes japonica 3. Angelica sinensis 4. Bupleurum falcatum 5. Zizyphus jujuba var. inermis. 6. Glycyrrhiza uralensis 7. Panax ginseng 8. Citrus unshiu 9. Zingiber officinale.,AriBio Co. Ltd,10/28/2016,1/9/2017
955,N/A,Atractylodes japonica One of 2 NDIs in NDI 954 (a mixture of 9 dried botanical extracts). Trade name ARI-BJ,AriBio Co. Ltd,10/28/2016,1/9/2017
956,N/A,"Bupleurum falcatum, One of 2 NDIs in NDI 954 (a mixture of 9 dried botanical extracts). Trade name ARI-BJ",AriBio Co. Ltd,10/28/2016,1/9/2017
957,N/A,AstaPure oleoresin containing 10% astaxanthin esters from Haematococcus pluvialis Flotow under trade name AstaPure,Algatechnologies,11/3/2016,1/10/2017
958,N/A,Glycine max (L.) (soybean) whole broth extract from fermentation under trade name BioAid-995,Grape King Bio LTD,11/9/2016,1/18/2017
959,N/A,Matricaria chamomillaflowers -100%,Arkada Market,11/9/2016,1/18/2017
960,N/A,SpermHope Supplement derived from Glycyrrhiza glabra root extract.,Med-Hija LLC,11/13/2016,1/18/2017
961,N/A,Astaxanthin-rich Carotenoid extract derived from Paracoccus carotinifaciens under trade name ARE-1P and ARE-10P,JX Nippon Oil and Energy Corporation,11/16/2016,1/19/2017
962,N/A,Phlebodium aureum (L.) J. Sm. under trade name Fernblock and Heliocare,"Ferndale Pharma Group, Inc",11/22/2016,2/3/2017
963,N/A,Refined DHA Oil,Heliae Development LLC,12/1/2016,2/3/2017
964,N/A,"Allium cepa extract under trade name ""Fibraceb"" or ""Fibracep""","Biomeb, Dietary Molecular Diagnostics SL",12/6/2016,2/13/2017
965,N/A,24K gold,CornusAupia Gold Leaf,12/17/2016,5/2/2017
966,N/A,Pinon Pine Needles from the Pinus edulis Engelm,KIKNBAC Assets LLC,12/21/2016,2/24/2017
967,N/A,Protease from Penicillium citrinum,Amano Enzyme Inc,12/6/2016,2/14/2017
968,N/A,LemnaRed Astaxanthin crystal,Lemnaceae Fermentation,2/5/2017,5/23/2017
969,N/A,Refined Shrimp Peptide Concentrate (ProCardix),Marealis AS,1/6/2017,3/9/2017
970,N/A,Relief Magnesium Salve,"Eye of the Butterfly, LLC",1/7/2017,3/9/2017
971,N/A,Boric Acid,Natural Wellness Suppliers,1/7/2017,3/9/2017
972,N/A,Sophora japonica Linne fruit extract under trade name Rexflavone,Novarex,1/10/2017,3/10/2017
973,N/A,Bee venom,JH Group Inc ,1/12/2017,3/9/2017
974,N/A,"Jodis concentrate, crude material for foodstuff iodination under trade name Jodis-Concentrate (JC)",Vitel Line Company LLC,1/16/2017,3/10/2017
975,N/A,Essential Oil Blend,Jenna's Essential,1/18/2017,3/10/2017
977,N/A,Svelo Shake,Neurosciences Naturals LLC,1/18/2017,3/10/2017
978,N/A,"NA-TBD Vitamin, Herb or other botanical (Fat burner in capsule form)",BeachBody Solutions LLC,1/22/2017,4/4/2017
979,N/A,Amazon  ,Whatsupstairs,1/27/2017,4/4/2017
980,N/A,Anese hydrating elixir,Anese,1/29/2017,4/4/2017
981,N/A,Product name (vitamin in capsule form),Ms. Jenn Hopson,1/29/2017,4/4/2017
982,N/A,"Silicon dioxide aka ""Vegesil"".",Aqia Quimica Industrial LTDA,1/30/2017,4/4/2017
983,N/A,"Wakeup, a combination of 300 mg Bacopa monniera and 300 mg Rhodiola rosea.",Rubys Future LLC,1/30/2017,4/4/2017
984,N/A,Superior Hemp Oil,HoneyColony,1/30/2017,4/5/2017
985,N/A,HS1 Ingredient,CrazyCurious,1/30/2017,4/4/2017
986,N/A,"Wakeup Nootropic, a combination of 300 mg Bacopa monniera and 300 mg Rhodiola rosea.",Rubys Future LLC,1/31/2017,4/4/2017
987,N/A,Pinon Pine Needle capsules derived from Pinus edulisEngelm,KIKNBAC Assets LLC,2/3/2017,4/4/2017
988,N/A,Vitamin K from dried kale,Immobius,2/13/2017,4/4/2017
989,N/A,Product name not provided,Viagem International Ltd,2/14/2017,4/4/2017
990,N/A,Vitamin K ,Viagem International Ltd,2/14/2017,4/4/2017
991,N/A,Adrafinil,Gehirn Life LLC,2/16/2017,4/4/2017
992,N/A,Mitragynine derived from Mitragyna speciosa,American Botanical Corporation,2/17/2017,4/28/2017
993,N/A,Creatine Nitrate,ThermoLife International LLC,2/17/2017,4/28/2017
994,N/A,Seattle Pomade Co,Seattle Pomade Company,2/20/2017,4/4/2017
995,N/A,Aloe vera extract,Nutrition & Balance,2/22/2017,4/4/2017
996,N/A,Pyrroloquinoline quinine (PQQ) disodium salt,Zhejiang Medicine Company Ltd,2/24/2017,5/2/2017
997,N/A,Lyophilized royal jelly powder,"Hangzhou Hefengyuan Health Food Co., Ltd.",2/28/2017,4/4/2017
998,N/A,Novofertil,Noveco Invest & Trade Corp,3/1/2017,4/4/2017
999,N/A,Earthworm protein,Bocom Pharmaceutical USA Corp,3/3/2017,5/15/2017
1000,N/A,Water Kefir SCOBY,Immerse and Grow,3/9/2017,5/5/2017
1001,N/A,Biore Charcoal Cleanser,Rattigan Plainbumrung,3/12/2017,5/5/2017
1002,N/A,Sesamum indicum,V.A. Worldwide Ltd ,3/13/2017,4/4/2017
1003,N/A,Release essential oil blend,La Pixie LLC,3/13/2017,5/5/2017
1004,N/A,Curcuma longa,V.A. Worldwide Ltd,3/13/2017,5/12/2017
1005,N/A,Cassia angustifolia,V.A. Worldwide Ltd,3/13/2017,5/12/2017
1006,N/A,Sesamum indicum,TVC Life Sciences Limited,3/13/2017,4/4/2017
1007,N/A,Curcuma longa,TVC Life Sciences Limited,3/13/2017,5/12/2017
1008,N/A,Avocado Oil,Anthony Washington Industries LLC,3/13/2017,5/22/2017
1009,N/A,Cassia angustifolia,TVC Life Sciences Limited,3/14/2017,5/12/2017
1010,N/A,Escavite D multi-vitamin,Lames Salacheep,3/15/2017,5/12/2017
1012,N/A,Hemp oil,Honest Globe Inc,3/17/2017,5/30/2017
1013,N/A,Pyrroloquinoline Quinone (PQQ) Disodium Salt,NutraLand,3/21/2017,5/31/2017
1014,N/A,NeoKimchi,Phyto Symbio Tech Inc,3/25/2017,5/5/2017
1015,N/A,FenuGreek (Hulbo) Sauce,Mama Weliya LLC,3/28/2017,5/12/2017
1016,N/A,Manat Torsor,Manat Torsor,3/29/2017,5/12/2017
1017,N/A,Vege-Ca-scent,Ascentin LLC,3/30/2017,5/5/2017
1018,N/A,Advocare Spark,MariGoods,4/4/2017,6/2/2017
1019,N/A,Quality dist,Quality Distributors,4/6/2017,5/5/2017
1020,N/A,Upload,Globek USA,4/8/2017,5/5/2017
1021,N/A,Fucoxanthin extracted from alga Phaeodactylum tricornutum ,Algatechnologies,4/13/2017,6/19/2017
1022,N/A,Oxaloacetate (OAA),Terra Biological LLC,4/21/2017,9/8/2017
1023,N/A,Rhodiola rosea root,Freedom of Purpose LLC,4/22/2017,6/27/2017
1024,N/A,Lactobacillus paracasei,FFT USA Corporation,4/24/2017,6/27/2017
1025,N/A,Singulair,Liliana Yazmin Cruz Flores  ,4/25/2017,6/19/2017
1026,N/A,Oxaloacetate (OAA),Terra Biological LLC,4/25/2017,9/8/2017
1027,N/A,Solanum dulcamara extract,"EcuaBIRM Cia, Ltda",4/28/2017,7/5/2017
1028,N/A,Quercus macranthera,NutraLinks LLC,5/1/2017,7/5/2017
1029,N/A,Liwa water,American Society of Thermalism,5/2/2017,7/5/2017
1030,N/A,Phosphoric acid food grade,"Guangxi Fangchenggang Duolin Chemical Co., LTD",5/10/2017,7/5/2017
1031,N/A,Vegcascent,Ascentin LLC,5/10/2017,7/6/2017
1032,N/A,Addium,Twenty One Twelve,5/12/2017,7/6/2017
1033,N/A,Addium 3rd Generation: ,Implied Odds,5/12/2017,7/17/2017
1034,N/A,Myristic acid condensate,"ThirdWaveGlobal Trading Company, LLC",5/13/2017,7/18/2017
1035,N/A,Exfoliating backwash,Joy and Kindness,5/20/2017,7/18/2017
1036,N/A,Exfoliating backwash,Joy and Kindness,5/21/2017,7/18/2017
1037,N/A,Joy and Kindness,Joy and Kindness,5/21/2017,7/18/2017
1038,N/A,Exfoliating backwash,Joy and Kindness,5/21/2017,7/18/2017
1039,N/A,Curcumin 95%,Cadila Pharmaceuticals Limited,5/23/2017,10/12/2017
1040,N/A,Fibraceb (Allium cepa),Biomeb,6/1/2017,8/8/2017
1041,N/A,Brain Factor-7 Silk Fibroin Peptide,Famenity Company LTD,6/6/2017,8/11/2017
1042,N/A,Shea Olein,Vermont Soap,6/12/2017,8/22/2017
1043,N/A,DeVertigo,"Tai L. Guo, PhD, DABT",6/21/2017,8/24/2017
1044,N/A,Bifidobacterium breve CECT7263,Biosearch S.A. ,7/6/2017,9/18/2017
1045,N/A,Lactobacillus salivarius CECT5713,Biosearch S.A. ,7/7/2017,1/16/2018
1046,N/A,Methylphosphonic acid,Aardsma Research & Publishing,7/28/2017,9/26/2017
1047,N/A,DHA concentrated ethyl ester algal oil,"DSM Nutritional Products, Inc.",8/14/2017,2/20/2018
1048,N/A,Fucoxanthin,Algatechnologies,8/22/2017,10/31/2017
1049,N/A,Lactobacillus Coryniformis CECT5711,Biosearch S.A.,11/14/2017,1/16/2018
1050,N/A,AB Free kava,Kuality Herbceutics,11/15/2017,1/19/2018
1051,N/A,Uva ursi ,Nuna Med LLC,11/15/2017,1/19/2018
1052,N/A,Bio-Hericium,Tomilab LLC,11/16/2017,1/19/2018
1053,N/A,Bupleurum falcatum Linne,Aribio Co. Ltd,11/17/2017,1/19/2018
1054,N/A,Agave salmiana sap concentrate,AGMEL S.A. DE C.V.,11/20/2017,1/19/2018
1055,N/A,Camellia sinensis,"PureGrab, LLC.",12/3/2017,1/30/2018
1056,N/A,Lactobacillus paracasei ,"Katsuragi Sangyo, Co.",12/14/2017,2/22/2018
1057,N/A,Harmala powder,"Hyatt Life Sciences, Inc.",12/21/2017,2/28/2018
1058,N/A,Arum palaestinum powder,"Hyatt Life Sciences, Inc.",12/21/2017,2/28/2018
1059,N/A,Deep Ocean Minerals Concentrate,"Taiwan Yes Deep Ocean Water Co., LTD",12/19/2017,3/1/2018
1060,N/A,Korean Red Ginseng Extract,Korean Ginseng Corporation,12/22/2017,3/5/2018
1061,N/A,Lactobacillus fermentum SBS-1,"Danisco USA, Inc",12/22/2017,3/5/2018
1062,N/A,Nicotinamide Riboside Chloride ,"ChromaDex, Inc",12/27/2017,3/7/2018
1063,N/A,Mitragynine extracted from Mitragyna speciosa ,American Botanical Corporation,1/2/2018,4/17/2018
1064,N/A,Creatine acesulfame,Sweet Nutraceuticals,1/11/2018,2/8/2018
1065,N/A,Refined Shrimp Peptide Concentrate,Marealis AS,2/6/2018,4/17/2018
1066,N/A,Freeze dried chicken bone powder,Performance by Science LLC,2/7/2018,4/19/2018
1067,N/A,Astaxanathin-rich oleoresin ,Yunnan Alphy Biotech Co. Ltd,2/26/2018,5/2/2018
1068,N/A,Coriander seed oil ,Seppic Inc,3/1/2018,5/7/2018
1069,N/A,Moringa oleifera,Farmer Fem Limited,3/16/2018,5/14/2018
1070,N/A,"Anosohip (extracts from Silybum marianum, Trigonella foenum-graecum, and Matricaria recutita) ",SAFECURE LLC,3/19/2018,5/21/2018
1071,N/A,Ankascin 568-R (red yeast fermented product extracted from Monascus purpureus,SunWay Biotech Co. LTD,3/23/2018,6/1/2018
1072,N/A,ARI-JE (concentrated extract from Angelica gigas Nakai roots) ,Aribio Co. Ltd,4/11/2018,6/20/2018
1073,N/A,Anti-Chol (dried fruit of Tetrapleura tetraptera),Dr. Delali Kwami Agbodza,4/16/2018,6/26/2018
1074,N/A,Omega-7 fish oil (palmitoleic acid ethyl ester is the predominant fatty acid),Tersus Life Sciences LLC ,4/16/2018,6/26/2018
